Shape,Result,Number,Time
<http://SGKG4.org/shapes/Constraint5>,valid,147650,1550.5212025642395
<http://SGKG4.org/shapes/Constraint2>,valid,66306,666.9531800746918
<http://SGKG4.org/shapes/Constraint1>,valid,22643,346.1844062805176
<http://SGKG4.org/shapes/Constraint3>,valid,96786,951.5374526977539
<http://SGKG4.org/shapes/Constraint1>,valid,2435,346.049444437027
<http://SGKG4.org/shapes/Constraint2>,valid,45280,666.8635883331299
<http://SGKG4.org/shapes/Constraint3>,valid,92998,951.5224521160126
<http://SGKG4.org/shapes/Constraint4>,valid,131619,1230.7509100437164
<http://SGKG4.org/shapes/Constraint3>,violated,71443,951.4424524307251
<http://SGKG4.org/shapes/Constraint5>,violated,138332,1550.477166891098
<http://SGKG4.org/shapes/Constraint4>,valid,111967,1230.6638741493225
